X (Hz),Y (dBV),
13784.52,-85.75522,
13822.7,-85.75126,
13860.89,-85.6591,
13899.07,-85.73891,
13937.26,-85.66508,
13975.44,-85.91595,
14013.62,-85.72823,
14051.81,-88.68996,
14089.99,-86.12194,
14128.18,-86.24337,
14166.36,-86.03249,
14204.54,-86.23063,
14242.73,-86.20849,
14280.91,-86.20924,
14319.1,-86.2166,
14357.28,-86.30402,
14395.47,-86.37039,
14433.65,-86.4315,
14471.83,-86.53267,
14510.02,-86.35482,
14548.2,-86.52534,
14586.39,-86.60985,
14624.57,-86.68965,
14662.76,-86.74883,
14700.94,-86.58603,
14739.13,-86.69649,
14777.31,-87.01799,
14815.49,-86.90701,
14853.68,-86.95431,
14891.86,-87.41242,
14930.05,-87.54266,
14968.23,-88.6194,
15006.42,-90.24998,
15044.6,-87.04062,
15082.78,-83.13885,
15120.97,-85.28262,
15159.15,-85.68541,
15197.34,-86.1491,
15235.52,-86.71588,
15273.7,-86.26585,
15311.89,-86.50219,
15350.07,-86.60709,
15388.26,-86.60603,
15426.44,-86.84056,
15464.63,-86.76854,
15502.81,-86.70166,
15540.99,-86.92729,
15579.18,-87.06596,
15617.36,-86.88832,
15655.55,-86.99425,
15693.73,-86.98673,
15731.92,-87.10249,
15770.1,-87.2795,
15808.28,-87.17142,
15846.47,-87.26466,
15884.65,-87.4642,
15922.84,-87.43241,
15961.02,-87.96082,
15999.21,-87.78786,
16037.39,-88.4723,
16075.57,-85.52255,
16113.76,-86.97476,
16151.94,-86.90881,
16190.13,-87.22004,
16228.31,-87.2506,
16266.5,-87.32419,
16304.68,-87.23946,
16342.86,-87.22243,
16381.05,-87.4353,
16419.23,-87.49072,
16457.42,-87.43591,
16495.6,-87.56354,
16533.79,-87.6459,
16571.97,-87.62489,
16610.15,-87.81264,
16648.34,-87.91256,
16686.52,-87.83763,
16724.71,-88.32895,
16762.89,-88.19019,
16801.07,-88.02092,
16839.26,-88.47166,
16877.44,-88.91853,
16915.63,-88.77007,
16953.81,-89.83751,
16992,-89.49249,
17030.18,-92.92796,
17068.37,-78.66218,
17106.55,-85.79221,
17144.73,-86.15286,
17182.92,-86.60901,
17221.1,-87.06481,
17259.29,-86.81274,
17297.47,-87.37277,
17335.65,-87.45889,
17373.84,-87.41736,
17412.02,-87.83263,
17450.21,-87.56974,
17488.39,-87.62415,
17526.58,-88.27745,
17564.76,-87.79057,
17602.95,-87.70985,
17641.13,-87.88039,
17679.31,-88.03588,
17717.5,-87.85603,
17755.68,-88.14338,
17793.87,-87.8328,
17832.05,-87.71523,
17870.23,-88.39494,
17908.42,-88.10698,
17946.6,-88.11469,
17984.79,-87.69302,
18022.97,-87.99695,
18061.16,-85.57954,
18099.34,-88.47614,
18137.52,-88.15078,
18175.71,-88.45943,
18213.89,-88.44482,
18252.08,-88.37089,
18290.26,-88.44681,
18328.45,-88.41968,
18366.63,-88.39841,
18404.81,-88.49125,
18443,-88.21301,
18481.18,-88.35757,
18519.37,-88.41973,
18557.55,-88.39365,
18595.73,-88.21574,
18633.92,-88.38639,
18672.1,-88.452,
18710.29,-88.43674,
18748.47,-88.3116,
18786.66,-88.0463,
18824.84,-88.39877,
18863.03,-88.22872,
18901.21,-87.94502,
18939.39,-87.79854,
18977.58,-86.6944,
19015.76,-85.90165,
19053.95,-80.99145,
19092.13,-96.4098,
19130.31,-91.03413,
19168.5,-90.90663,
19206.68,-90.04322,
19244.87,-89.44103,
19283.05,-90.04996,
19321.24,-89.91096,
19359.42,-89.55944,
19397.61,-89.48004,
19435.79,-89.35828,
19473.97,-89.59556,
19512.16,-89.80126,
19550.34,-89.37761,
19588.53,-89.37939,
19626.71,-89.52934,
19664.89,-89.54906,
19703.08,-89.6041,
19741.26,-89.46053,
19779.45,-89.36922,
19817.63,-89.52976,
19855.82,-89.62009,
19894,-89.40807,
19932.18,-89.41972,
19970.37,-89.10495,
20008.55,-89.49645,
20046.74,-88.68554,
20084.92,-89.53635,
20123.11,-89.73643,
20161.29,-90.00076,
20199.47,-89.7119,
20237.66,-89.70188,
20275.84,-89.73888,
20314.03,-89.76619,
20352.21,-89.7785,
20390.4,-89.697,
20428.58,-89.56784,
20466.76,-89.7589,
20504.95,-89.86213,
20543.13,-89.7139,
20581.32,-89.77454,
20619.5,-89.91805,
